name,miles_per_gallon,cylinders,displacement,hp,weight_lbs,acceleration,year,origin,weight_kg,mpg_category,vehicle_age,origin_encoded,origin_europe,origin_japan,origin_usa
audi 100 ls,24.0,4.0,107.0,90.0,2430.0,14.5,70,europe,1102.22856,Medium,1956,0,True,False,False
saab 99e,25.0,4.0,104.0,95.0,2375.0,17.5,70,europe,1077.281,Medium,1956,0,True,False,False
bmw 2002,26.0,4.0,121.0,113.0,2234.0,15.5,70,europe,1013.324528,Medium,1956,0,True,False,False
amc gremlin,21.0,6.0,199.0,90.0,2648.0,15.0,70,usa,1201.111616,Medium,1956,2,False,False,True
ford f250,10.0,8.0,360.0,215.0,4615.0,14.0,70,usa,2093.32708,Low,1956,2,False,False,True
chevy c20,10.0,8.0,307.0,200.0,4376.0,15.0,70,usa,1984.918592,Low,1956,2,False,False,True
dodge d200,11.0,8.0,318.0,210.0,4382.0,13.5,70,usa,1987.640144,Low,1956,2,False,False,True
hi 1200d,9.0,8.0,304.0,193.0,4732.0,18.5,70,usa,2146.397344,Low,1956,2,False,False,True
datsun pl510,27.0,4.0,97.0,88.0,2130.0,14.5,71,japan,966.1509599999999,Medium,1955,1,False,True,False
chevrolet vega 2300,28.0,4.0,140.0,90.0,2264.0,15.5,71,usa,1026.932288,Medium,1955,2,False,False,True
toyota corona,25.0,4.0,113.0,95.0,2228.0,14.0,71,japan,1010.602976,Medium,1955,1,False,True,False
ford pinto,25.0,4.0,98.0,92.5,2046.0,19.0,71,usa,928.049232,Medium,1955,2,False,False,True
amc gremlin,19.0,6.0,232.0,100.0,2634.0,13.0,71,usa,1194.761328,Low,1955,2,False,False,True
plymouth satellite custom,16.0,6.0,225.0,105.0,3439.0,15.5,71,usa,1559.902888,Low,1955,2,False,False,True
chevrolet chevelle malibu,17.0,6.0,250.0,100.0,3329.0,15.5,71,usa,1510.007768,Low,1955,2,False,False,True
ford torino 500,19.0,6.0,250.0,88.0,3302.0,15.5,71,usa,1497.760784,Low,1955,2,False,False,True
amc matador,18.0,6.0,232.0,100.0,3288.0,15.5,71,usa,1491.410496,Low,1955,2,False,False,True
chevrolet impala,14.0,8.0,350.0,165.0,4209.0,12.0,71,usa,1909.1687279999999,Low,1955,2,False,False,True
pontiac catalina brougham,14.0,8.0,400.0,175.0,4464.0,11.5,71,usa,2024.834688,Low,1955,2,False,False,True
ford galaxie 500,14.0,8.0,351.0,153.0,4154.0,13.5,71,usa,1884.221168,Low,1955,2,False,False,True
plymouth fury iii,14.0,8.0,318.0,150.0,4096.0,13.0,71,usa,1857.912832,Low,1955,2,False,False,True
dodge monaco (sw),12.0,8.0,383.0,180.0,4955.0,11.5,71,usa,2247.54836,Low,1955,2,False,False,True
ford country squire (sw),13.0,8.0,400.0,170.0,4746.0,12.0,71,usa,2152.747632,Low,1955,2,False,False,True
pontiac safari (sw),13.0,8.0,400.0,175.0,5140.0,12.0,71,usa,2331.46288,Low,1955,2,False,False,True
amc hornet sportabout (sw),18.0,6.0,258.0,110.0,2962.0,13.5,71,usa,1343.539504,Low,1955,2,False,False,True
chevrolet vega (sw),22.0,4.0,140.0,72.0,2408.0,19.0,71,usa,1092.249536,Medium,1955,2,False,False,True
pontiac firebird,19.0,6.0,250.0,100.0,3282.0,15.0,71,usa,1488.688944,Low,1955,2,False,False,True
ford mustang,18.0,6.0,250.0,88.0,3139.0,14.5,71,usa,1423.825288,Low,1955,2,False,False,True
mercury capri 2000,23.0,4.0,122.0,86.0,2220.0,14.0,71,usa,1006.97424,Medium,1955,2,False,False,True
opel 1900,28.0,4.0,116.0,90.0,2123.0,14.0,71,europe,962.975816,Medium,1955,0,True,False,False
peugeot 304,30.0,4.0,79.0,70.0,2074.0,19.5,71,europe,940.749808,High,1955,0,True,False,False
fiat 124b,30.0,4.0,88.0,76.0,2065.0,14.5,71,europe,936.66748,High,1955,0,True,False,False
toyota corolla 1200,31.0,4.0,71.0,65.0,1773.0,19.0,71,japan,804.218616,High,1955,1,False,True,False
datsun 1200,35.0,4.0,72.0,69.0,1613.0,18.0,71,japan,731.643896,High,1955,1,False,True,False
volkswagen model 111,27.0,4.0,97.0,60.0,1834.0,19.0,71,europe,831.887728,Medium,1955,0,True,False,False
plymouth cricket,26.0,4.0,91.0,70.0,1955.0,20.5,71,usa,886.7723599999999,Medium,1955,2,False,False,True
toyota corona hardtop,24.0,4.0,113.0,95.0,2278.0,15.5,72,japan,1033.282576,Medium,1954,1,False,True,False
dodge colt hardtop,25.0,4.0,97.5,80.0,2126.0,17.0,72,usa,964.336592,Medium,1954,2,False,False,True
volkswagen type 3,23.0,4.0,97.0,54.0,2254.0,23.5,72,europe,1022.3963679999999,Medium,1954,0,True,False,False
chevrolet vega,20.0,4.0,140.0,90.0,2408.0,19.5,72,usa,1092.249536,Medium,1954,2,False,False,True
ford pinto runabout,21.0,4.0,122.0,86.0,2226.0,16.5,72,usa,1009.695792,Medium,1954,2,False,False,True
chevrolet impala,13.0,8.0,350.0,165.0,4274.0,12.0,72,usa,1938.652208,Low,1954,2,False,False,True
pontiac catalina,14.0,8.0,400.0,175.0,4385.0,12.0,72,usa,1989.00092,Low,1954,2,False,False,True
plymouth fury iii,15.0,8.0,318.0,150.0,4135.0,13.5,72,usa,1875.60292,Low,1954,2,False,False,True
ford galaxie 500,14.0,8.0,351.0,153.0,4129.0,13.0,72,usa,1872.881368,Low,1954,2,False,False,True
amc ambassador sst,17.0,8.0,304.0,150.0,3672.0,11.5,72,usa,1665.589824,Low,1954,2,False,False,True
mercury marquis,11.0,8.0,429.0,208.0,4633.0,11.0,72,usa,2101.491736,Low,1954,2,False,False,True
buick lesabre custom,13.0,8.0,350.0,155.0,4502.0,13.5,72,usa,2042.071184,Low,1954,2,False,False,True
oldsmobile delta 88 royale,12.0,8.0,350.0,160.0,4456.0,13.5,72,usa,2021.205952,Low,1954,2,False,False,True
chrysler newport royal,13.0,8.0,400.0,190.0,4422.0,12.5,72,usa,2005.7838239999999,Low,1954,2,False,False,True
mazda rx2 coupe,19.0,3.0,70.0,97.0,2330.0,13.5,72,japan,1056.86936,Low,1954,1,False,True,False
amc matador (sw),15.0,8.0,304.0,150.0,3892.0,12.5,72,usa,1765.380064,Low,1954,2,False,False,True
chevrolet chevelle concours (sw),13.0,8.0,307.0,130.0,4098.0,14.0,72,usa,1858.820016,Low,1954,2,False,False,True
ford gran torino (sw),13.0,8.0,302.0,140.0,4294.0,16.0,72,usa,1947.724048,Low,1954,2,False,False,True
plymouth satellite custom (sw),14.0,8.0,318.0,150.0,4077.0,14.0,72,usa,1849.294584,Low,1954,2,False,False,True
volvo 145e (sw),18.0,4.0,121.0,112.0,2933.0,14.5,72,europe,1330.385336,Low,1954,0,True,False,False
volkswagen 411 (sw),22.0,4.0,121.0,76.0,2511.0,18.0,72,europe,1138.969512,Medium,1954,0,True,False,False
peugeot 504 (sw),21.0,4.0,120.0,87.0,2979.0,19.5,72,europe,1351.250568,Medium,1954,0,True,False,False
renault 12 (sw),26.0,4.0,96.0,69.0,2189.0,18.0,72,europe,992.912888,Medium,1954,0,True,False,False
ford pinto (sw),22.0,4.0,122.0,86.0,2395.0,16.0,72,usa,1086.35284,Medium,1954,2,False,False,True
datsun 510 (sw),28.0,4.0,97.0,92.0,2288.0,17.0,72,japan,1037.818496,Medium,1954,1,False,True,False
toyouta corona mark ii (sw),23.0,4.0,120.0,97.0,2506.0,14.5,72,japan,1136.701552,Medium,1954,1,False,True,False
dodge colt (sw),28.0,4.0,98.0,80.0,2164.0,15.0,72,usa,981.573088,Medium,1954,2,False,False,True
toyota corolla 1600 (sw),27.0,4.0,97.0,88.0,2100.0,16.5,72,japan,952.5432,Medium,1954,1,False,True,False
buick century 350,13.0,8.0,350.0,175.0,4100.0,13.0,73,usa,1859.7272,Low,1953,2,False,False,True
amc matador,14.0,8.0,304.0,150.0,3672.0,11.5,73,usa,1665.589824,Low,1953,2,False,False,True
chevrolet malibu,13.0,8.0,350.0,145.0,3988.0,13.0,73,usa,1808.924896,Low,1953,2,False,False,True
ford gran torino,14.0,8.0,302.0,137.0,4042.0,14.5,73,usa,1833.418864,Low,1953,2,False,False,True
dodge coronet custom,15.0,8.0,318.0,150.0,3777.0,12.5,73,usa,1713.216984,Low,1953,2,False,False,True
mercury marquis brougham,12.0,8.0,429.0,198.0,4952.0,11.5,73,usa,2246.187584,Low,1953,2,False,False,True
chevrolet caprice classic,13.0,8.0,400.0,150.0,4464.0,12.0,73,usa,2024.834688,Low,1953,2,False,False,True
ford ltd,13.0,8.0,351.0,158.0,4363.0,13.0,73,usa,1979.021896,Low,1953,2,False,False,True
plymouth fury gran sedan,14.0,8.0,318.0,150.0,4237.0,14.5,73,usa,1921.869304,Low,1953,2,False,False,True
chrysler new yorker brougham,13.0,8.0,440.0,215.0,4735.0,11.0,73,usa,2147.75812,Low,1953,2,False,False,True
buick electra 225 custom,12.0,8.0,455.0,225.0,4951.0,11.0,73,usa,2245.733992,Low,1953,2,False,False,True
amc ambassador brougham,13.0,8.0,360.0,175.0,3821.0,11.0,73,usa,1733.1750319999999,Low,1953,2,False,False,True
plymouth valiant,18.0,6.0,225.0,105.0,3121.0,16.5,73,usa,1415.660632,Low,1953,2,False,False,True
chevrolet nova custom,16.0,6.0,250.0,100.0,3278.0,18.0,73,usa,1486.874576,Low,1953,2,False,False,True
amc hornet,18.0,6.0,232.0,100.0,2945.0,16.0,73,usa,1335.82844,Low,1953,2,False,False,True
ford maverick,18.0,6.0,250.0,88.0,3021.0,16.5,73,usa,1370.301432,Low,1953,2,False,False,True
plymouth duster,23.0,6.0,198.0,95.0,2904.0,16.0,73,usa,1317.231168,Medium,1953,2,False,False,True
volkswagen super beetle,26.0,4.0,97.0,46.0,1950.0,21.0,73,europe,884.5044,Medium,1953,0,True,False,False
chevrolet impala,11.0,8.0,400.0,150.0,4997.0,14.0,73,usa,2266.599224,Low,1953,2,False,False,True
ford country,12.0,8.0,400.0,167.0,4906.0,12.5,73,usa,2225.322352,Low,1953,2,False,False,True
plymouth custom suburb,13.0,8.0,360.0,170.0,4654.0,13.0,73,usa,2111.017168,Low,1953,2,False,False,True
oldsmobile vista cruiser,12.0,8.0,350.0,180.0,4499.0,12.5,73,usa,2040.710408,Low,1953,2,False,False,True
amc gremlin,18.0,6.0,232.0,100.0,2789.0,15.0,73,usa,1265.068088,Low,1953,2,False,False,True
toyota carina,20.0,4.0,97.0,88.0,2279.0,19.0,73,japan,1033.736168,Medium,1953,1,False,True,False
chevrolet vega,21.0,4.0,140.0,72.0,2401.0,19.5,73,usa,1089.074392,Medium,1953,2,False,False,True
datsun 610,22.0,4.0,108.0,94.0,2379.0,16.5,73,japan,1079.095368,Medium,1953,1,False,True,False
maxda rx3,18.0,3.0,70.0,90.0,2124.0,13.5,73,japan,963.429408,Low,1953,1,False,True,False
ford pinto,19.0,4.0,122.0,85.0,2310.0,18.5,73,usa,1047.79752,Low,1953,2,False,False,True
mercury capri v6,21.0,6.0,155.0,107.0,2472.0,14.0,73,usa,1121.279424,Medium,1953,2,False,False,True
fiat 124 sport coupe,26.0,4.0,98.0,90.0,2265.0,15.5,73,europe,1027.38588,Medium,1953,0,True,False,False
chevrolet monte carlo s,15.0,8.0,350.0,145.0,4082.0,13.0,73,usa,1851.562544,Low,1953,2,False,False,True
pontiac grand prix,16.0,8.0,400.0,230.0,4278.0,9.5,73,usa,1940.466576,Low,1953,2,False,False,True
fiat 128,29.0,4.0,68.0,49.0,1867.0,19.5,73,europe,846.856264,Medium,1953,0,True,False,False
opel manta,24.0,4.0,116.0,75.0,2158.0,15.5,73,europe,978.851536,Medium,1953,0,True,False,False
audi 100ls,20.0,4.0,114.0,91.0,2582.0,14.0,73,europe,1171.174544,Medium,1953,0,True,False,False
volvo 144ea,19.0,4.0,121.0,112.0,2868.0,15.5,73,europe,1300.901856,Low,1953,0,True,False,False
dodge dart custom,15.0,8.0,318.0,150.0,3399.0,11.0,73,usa,1541.759208,Low,1953,2,False,False,True
saab 99le,24.0,4.0,121.0,110.0,2660.0,14.0,73,europe,1206.55472,Medium,1953,0,True,False,False
toyota mark ii,20.0,6.0,156.0,122.0,2807.0,13.5,73,japan,1273.232744,Medium,1953,1,False,True,False
oldsmobile omega,11.0,8.0,350.0,180.0,3664.0,11.0,73,usa,1661.961088,Low,1953,2,False,False,True
plymouth duster,20.0,6.0,198.0,95.0,3102.0,16.5,74,usa,1407.042384,Medium,1952,2,False,False,True
ford maverick,21.0,6.0,200.0,92.5,2875.0,17.0,74,usa,1304.077,Medium,1952,2,False,False,True
amc hornet,19.0,6.0,232.0,92.5,2901.0,16.0,74,usa,1315.870392,Low,1952,2,False,False,True
chevrolet nova,15.0,6.0,250.0,100.0,3336.0,17.0,74,usa,1513.182912,Low,1952,2,False,False,True
datsun b210,31.0,4.0,79.0,67.0,1950.0,19.0,74,japan,884.5044,High,1952,1,False,True,False
ford pinto,26.0,4.0,122.0,80.0,2451.0,16.5,74,usa,1111.753992,Medium,1952,2,False,False,True
toyota corolla 1200,32.0,4.0,71.0,92.5,1836.0,15.5,74,japan,832.794912,High,1952,1,False,True,False
chevrolet vega,25.0,4.0,140.0,75.0,2542.0,17.0,74,usa,1153.030864,Medium,1952,2,False,False,True
chevrolet chevelle malibu classic,16.0,6.0,250.0,100.0,3781.0,17.0,74,usa,1715.031352,Low,1952,2,False,False,True
amc matador,16.0,6.0,258.0,110.0,3632.0,18.0,74,usa,1647.446144,Low,1952,2,False,False,True
plymouth satellite sebring,18.0,6.0,225.0,105.0,3613.0,16.5,74,usa,1638.827896,Low,1952,2,False,False,True
ford gran torino,16.0,8.0,302.0,92.5,4141.0,14.0,74,usa,1878.324472,Low,1952,2,False,False,True
buick century luxus (sw),13.0,8.0,350.0,150.0,4699.0,14.5,74,usa,2131.428808,Low,1952,2,False,False,True
dodge coronet custom (sw),14.0,8.0,318.0,150.0,4457.0,13.5,74,usa,2021.6595439999999,Low,1952,2,False,False,True
ford gran torino (sw),14.0,8.0,302.0,140.0,4638.0,16.0,74,usa,2103.759696,Low,1952,2,False,False,True
amc matador (sw),14.0,8.0,304.0,150.0,4257.0,15.5,74,usa,1930.941144,Low,1952,2,False,False,True
audi fox,29.0,4.0,98.0,83.0,2219.0,16.5,74,europe,1006.5206479999999,Medium,1952,0,True,False,False
volkswagen dasher,26.0,4.0,79.0,67.0,1963.0,15.5,74,europe,890.4010959999999,Medium,1952,0,True,False,False
opel manta,26.0,4.0,97.0,78.0,2300.0,14.5,74,europe,1043.2616,Medium,1952,0,True,False,False
toyota corona,31.0,4.0,76.0,52.0,1649.0,16.5,74,japan,747.973208,High,1952,1,False,True,False
datsun 710,32.0,4.0,83.0,61.0,2003.0,19.0,74,japan,908.544776,High,1952,1,False,True,False
dodge colt,28.0,4.0,90.0,75.0,2125.0,14.5,74,usa,963.883,Medium,1952,2,False,False,True
fiat 128,24.0,4.0,90.0,75.0,2108.0,15.5,74,europe,956.171936,Medium,1952,0,True,False,False
fiat 124 tc,26.0,4.0,116.0,75.0,2246.0,14.0,74,europe,1018.7676319999999,Medium,1952,0,True,False,False
honda civic,24.0,4.0,120.0,97.0,2489.0,15.0,74,japan,1128.990488,Medium,1952,1,False,True,False
subaru,26.0,4.0,108.0,93.0,2391.0,15.5,74,japan,1084.538472,Medium,1952,1,False,True,False
fiat x1.9,31.0,4.0,79.0,67.0,2000.0,16.0,74,europe,907.184,High,1952,0,True,False,False
plymouth valiant custom,19.0,6.0,225.0,95.0,3264.0,16.0,75,usa,1480.524288,Low,1951,2,False,False,True
chevrolet nova,18.0,6.0,250.0,105.0,3459.0,16.0,75,usa,1568.974728,Low,1951,2,False,False,True
mercury monarch,15.0,6.0,250.0,72.0,3432.0,21.0,75,usa,1556.727744,Low,1951,2,False,False,True
ford maverick,15.0,6.0,250.0,72.0,3158.0,19.5,75,usa,1432.443536,Low,1951,2,False,False,True
pontiac catalina,16.0,8.0,400.0,170.0,4668.0,11.5,75,usa,2117.367456,Low,1951,2,False,False,True
chevrolet bel air,15.0,8.0,350.0,145.0,4440.0,14.0,75,usa,2013.94848,Low,1951,2,False,False,True
plymouth grand fury,16.0,8.0,318.0,150.0,4498.0,14.5,75,usa,2040.256816,Low,1951,2,False,False,True
ford ltd,14.0,8.0,351.0,148.0,4657.0,13.5,75,usa,2112.377944,Low,1951,2,False,False,True
buick century,17.0,6.0,231.0,110.0,3907.0,21.0,75,usa,1772.1839439999999,Low,1951,2,False,False,True
chevroelt chevelle malibu,16.0,6.0,250.0,105.0,3897.0,18.5,75,usa,1767.648024,Low,1951,2,False,False,True
amc matador,15.0,6.0,258.0,110.0,3730.0,19.0,75,usa,1691.89816,Low,1951,2,False,False,True
plymouth fury,18.0,6.0,225.0,95.0,3785.0,19.0,75,usa,1716.84572,Low,1951,2,False,False,True
buick skyhawk,21.0,6.0,231.0,110.0,3039.0,15.0,75,usa,1378.466088,Medium,1951,2,False,False,True
chevrolet monza 2+2,20.0,8.0,262.0,110.0,3221.0,13.5,75,usa,1461.019832,Medium,1951,2,False,False,True
ford mustang ii,13.0,8.0,302.0,129.0,3169.0,12.0,75,usa,1437.4330479999999,Low,1951,2,False,False,True
toyota corolla,29.0,4.0,97.0,75.0,2171.0,16.0,75,japan,984.748232,Medium,1951,1,False,True,False
ford pinto,23.0,4.0,140.0,83.0,2639.0,17.0,75,usa,1197.029288,Medium,1951,2,False,False,True
amc gremlin,20.0,6.0,232.0,100.0,2914.0,16.0,75,usa,1321.767088,Medium,1951,2,False,False,True
pontiac astro,23.0,4.0,140.0,78.0,2592.0,18.5,75,usa,1175.710464,Medium,1951,2,False,False,True
toyota corona,24.0,4.0,134.0,96.0,2702.0,13.5,75,japan,1225.605584,Medium,1951,1,False,True,False
volkswagen dasher,25.0,4.0,90.0,71.0,2223.0,16.5,75,europe,1008.335016,Medium,1951,0,True,False,False
datsun 710,24.0,4.0,119.0,97.0,2545.0,17.0,75,japan,1154.39164,Medium,1951,1,False,True,False
ford pinto,18.0,6.0,171.0,97.0,2984.0,14.5,75,usa,1353.518528,Low,1951,2,False,False,True
volkswagen rabbit,29.0,4.0,90.0,70.0,1937.0,14.0,75,europe,878.607704,Medium,1951,0,True,False,False
amc pacer,19.0,6.0,232.0,90.0,3211.0,17.0,75,usa,1456.483912,Low,1951,2,False,False,True
audi 100ls,23.0,4.0,115.0,95.0,2694.0,15.0,75,europe,1221.976848,Medium,1951,0,True,False,False
peugeot 504,23.0,4.0,120.0,88.0,2957.0,17.0,75,europe,1341.271544,Medium,1951,0,True,False,False
volvo 244dl,22.0,4.0,121.0,98.0,2945.0,14.5,75,europe,1335.82844,Medium,1951,0,True,False,False
saab 99le,25.0,4.0,121.0,115.0,2671.0,13.5,75,europe,1211.544232,Medium,1951,0,True,False,False
honda civic cvcc,33.0,4.0,91.0,53.0,1795.0,17.5,75,japan,814.19764,High,1951,1,False,True,False
fiat 131,28.0,4.0,107.0,86.0,2464.0,15.5,76,europe,1117.650688,Medium,1950,0,True,False,False
opel 1900,25.0,4.0,116.0,81.0,2220.0,16.9,76,europe,1006.97424,Medium,1950,0,True,False,False
capri ii,25.0,4.0,140.0,92.0,2572.0,14.9,76,usa,1166.638624,Medium,1950,2,False,False,True
dodge colt,26.0,4.0,98.0,79.0,2255.0,17.7,76,usa,1022.84996,Medium,1950,2,False,False,True
renault 12tl,27.0,4.0,101.0,83.0,2202.0,15.3,76,europe,998.809584,Medium,1950,0,True,False,False
chevrolet chevelle malibu classic,17.5,8.0,305.0,140.0,4215.0,13.0,76,usa,1911.89028,Low,1950,2,False,False,True
dodge coronet brougham,16.0,8.0,318.0,150.0,4190.0,13.0,76,usa,1900.5504799999999,Low,1950,2,False,False,True
amc matador,15.5,8.0,304.0,120.0,3962.0,13.9,76,usa,1797.131504,Low,1950,2,False,False,True
ford gran torino,14.5,8.0,351.0,152.0,4215.0,12.8,76,usa,1911.89028,Low,1950,2,False,False,True
plymouth valiant,22.0,6.0,225.0,100.0,3233.0,15.4,76,usa,1466.462936,Medium,1950,2,False,False,True
chevrolet nova,22.0,6.0,250.0,105.0,3353.0,14.5,76,usa,1520.893976,Medium,1950,2,False,False,True
ford maverick,24.0,6.0,200.0,81.0,3012.0,17.6,76,usa,1366.219104,Medium,1950,2,False,False,True
amc hornet,22.5,6.0,232.0,90.0,3085.0,17.6,76,usa,1399.33132,Medium,1950,2,False,False,True
chevrolet chevette,29.0,4.0,85.0,52.0,2035.0,22.2,76,usa,923.05972,Medium,1950,2,False,False,True
chevrolet woody,24.5,4.0,98.0,60.0,2164.0,22.1,76,usa,981.573088,Medium,1950,2,False,False,True
vw rabbit,29.0,4.0,90.0,70.0,1937.0,14.2,76,europe,878.607704,Medium,1950,0,True,False,False
honda civic,33.0,4.0,91.0,53.0,1795.0,17.4,76,japan,814.19764,High,1950,1,False,True,False
dodge aspen se,20.0,6.0,225.0,100.0,3651.0,17.7,76,usa,1656.064392,Medium,1950,2,False,False,True
ford granada ghia,18.0,6.0,250.0,78.0,3574.0,21.0,76,usa,1621.137808,Low,1950,2,False,False,True
pontiac ventura sj,18.5,6.0,250.0,110.0,3645.0,16.2,76,usa,1653.34284,Low,1950,2,False,False,True
amc pacer d/l,17.5,6.0,258.0,95.0,3193.0,17.8,76,usa,1448.319256,Low,1950,2,False,False,True
volkswagen rabbit,29.5,4.0,97.0,71.0,1825.0,12.2,76,europe,827.8054,Medium,1950,0,True,False,False
datsun b-210,32.0,4.0,85.0,70.0,1990.0,17.0,76,japan,902.6480799999999,High,1950,1,False,True,False
toyota corolla,28.0,4.0,97.0,75.0,2155.0,16.4,76,japan,977.49076,Medium,1950,1,False,True,False
ford pinto,26.5,4.0,140.0,72.0,2565.0,13.6,76,usa,1163.46348,Medium,1950,2,False,False,True
volvo 245,20.0,4.0,130.0,102.0,3150.0,15.7,76,europe,1428.8147999999999,Medium,1950,0,True,False,False
plymouth volare premier v8,13.0,8.0,318.0,150.0,3940.0,13.2,76,usa,1787.15248,Low,1950,2,False,False,True
peugeot 504,19.0,4.0,120.0,88.0,3270.0,21.9,76,europe,1483.24584,Low,1950,0,True,False,False
toyota mark ii,19.0,6.0,156.0,108.0,2930.0,15.5,76,japan,1329.02456,Low,1950,1,False,True,False
mercedes-benz 280s,16.5,6.0,168.0,120.0,3820.0,16.7,76,europe,1732.72144,Low,1950,0,True,False,False
cadillac seville,16.5,8.0,350.0,180.0,4380.0,12.1,76,usa,1986.73296,Low,1950,2,False,False,True
chevy c10,13.0,8.0,350.0,145.0,4055.0,12.0,76,usa,1839.31556,Low,1950,2,False,False,True
ford f108,13.0,8.0,302.0,130.0,3870.0,15.0,76,usa,1755.40104,Low,1950,2,False,False,True
dodge d100,13.0,8.0,318.0,150.0,3755.0,14.0,76,usa,1703.23796,Low,1950,2,False,False,True
honda accord cvcc,31.5,4.0,98.0,68.0,2045.0,18.5,77,japan,927.59564,High,1949,1,False,True,False
buick opel isuzu deluxe,30.0,4.0,111.0,80.0,2155.0,14.8,77,usa,977.49076,High,1949,2,False,False,True
renault 5 gtl,36.0,4.0,79.0,58.0,1825.0,18.6,77,europe,827.8054,High,1949,0,True,False,False
plymouth arrow gs,25.5,4.0,122.0,96.0,2300.0,15.5,77,usa,1043.2616,Medium,1949,2,False,False,True
datsun f-10 hatchback,33.5,4.0,85.0,70.0,1945.0,16.8,77,japan,882.23644,High,1949,1,False,True,False
chevrolet caprice classic,17.5,8.0,305.0,145.0,3880.0,12.5,77,usa,1759.93696,Low,1949,2,False,False,True
oldsmobile cutlass supreme,17.0,8.0,260.0,110.0,4060.0,19.0,77,usa,1841.58352,Low,1949,2,False,False,True
dodge monaco brougham,15.5,8.0,318.0,145.0,4140.0,13.7,77,usa,1877.87088,Low,1949,2,False,False,True
mercury cougar brougham,15.0,8.0,302.0,130.0,4295.0,14.9,77,usa,1948.1776399999999,Low,1949,2,False,False,True
chevrolet concours,17.5,6.0,250.0,110.0,3520.0,16.4,77,usa,1596.64384,Low,1949,2,False,False,True
buick skylark,20.5,6.0,231.0,105.0,3425.0,16.9,77,usa,1553.5526,Medium,1949,2,False,False,True
plymouth volare custom,19.0,6.0,225.0,100.0,3630.0,17.7,77,usa,1646.53896,Low,1949,2,False,False,True
ford granada,18.5,6.0,250.0,98.0,3525.0,19.0,77,usa,1598.9118,Low,1949,2,False,False,True
pontiac grand prix lj,16.0,8.0,400.0,180.0,4220.0,11.1,77,usa,1914.15824,Low,1949,2,False,False,True
chevrolet monte carlo landau,15.5,8.0,350.0,170.0,4165.0,11.4,77,usa,1889.21068,Low,1949,2,False,False,True
chrysler cordoba,15.5,8.0,400.0,190.0,4325.0,12.2,77,usa,1961.7854,Low,1949,2,False,False,True
ford thunderbird,16.0,8.0,351.0,149.0,4335.0,14.5,77,usa,1966.32132,Low,1949,2,False,False,True
volkswagen rabbit custom,29.0,4.0,97.0,78.0,1940.0,14.5,77,europe,879.96848,Medium,1949,0,True,False,False
pontiac sunbird coupe,24.5,4.0,151.0,88.0,2740.0,16.0,77,usa,1242.84208,Medium,1949,2,False,False,True
