time,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2026-08-14T16:00,21.9,90,8.7,Bengaluru
2026-08-14T17:00,22.1,88,11.2,Bengaluru
2026-08-14T18:00,22.4,84,13.2,Bengaluru
2026-08-14T19:00,21.7,87,13.5,Bengaluru
2026-08-14T20:00,21.5,87,13.5,Bengaluru
2026-08-14T21:00,21.1,89,12.9,Bengaluru
2026-08-14T22:00,20.8,91,12.1,Bengaluru
2026-08-14T23:00,20.5,92,12.7,Bengaluru
2026-08-15T00:00,20.5,92,12.7,Bengaluru
2026-08-15T01:00,20.4,92,13.0,Bengaluru
2026-08-15T02:00,21.4,86,14.1,Bengaluru
2026-08-15T03:00,23.3,73,18.0,Bengaluru
2026-08-15T04:00,24.9,65,20.0,Bengaluru
2026-08-15T05:00,25.8,60,19.3,Bengaluru
2026-08-15T06:00,26.3,59,19.3,Bengaluru
2026-08-15T07:00,28.0,54,19.5,Bengaluru
2026-08-15T08:00,28.9,50,18.7,Bengaluru
2026-08-15T09:00,29.3,49,18.7,Bengaluru
2026-08-15T10:00,28.2,52,19.0,Bengaluru
2026-08-15T11:00,28.3,51,17.3,Bengaluru
2026-08-15T12:00,28.1,49,15.2,Bengaluru
2026-08-15T13:00,26.6,55,12.6,Bengaluru
2026-08-15T14:00,25.3,62,11.8,Bengaluru
2026-08-15T15:00,24.3,69,14.1,Bengaluru
2026-08-15T16:00,23.3,73,14.6,Bengaluru
2026-08-15T17:00,22.6,78,13.6,Bengaluru
2026-08-15T18:00,22.3,81,14.1,Bengaluru
2026-08-15T19:00,21.7,83,12.2,Bengaluru
2026-08-15T20:00,21.3,86,12.2,Bengaluru
2026-08-15T21:00,20.9,88,12.6,Bengaluru
2026-08-15T22:00,20.7,88,13.0,Bengaluru
2026-08-15T23:00,20.4,89,12.8,Bengaluru
2026-08-16T00:00,20.7,89,12.8,Bengaluru
2026-08-16T01:00,20.5,91,12.8,Bengaluru
2026-08-16T02:00,21.8,83,15.7,Bengaluru
2026-08-16T03:00,23.7,71,18.4,Bengaluru
2026-08-16T04:00,25.3,62,18.6,Bengaluru
2026-08-16T05:00,27.2,54,18.7,Bengaluru
2026-08-16T06:00,28.1,50,17.8,Bengaluru
2026-08-16T07:00,28.8,51,16.6,Bengaluru
2026-08-16T08:00,29.6,48,16.6,Bengaluru
2026-08-16T09:00,30.7,43,16.4,Bengaluru
2026-08-16T10:00,29.2,47,21.8,Bengaluru
2026-08-16T11:00,27.9,55,12.0,Bengaluru
2026-08-16T12:00,27.7,53,13.4,Bengaluru
2026-08-16T13:00,26.9,57,9.7,Bengaluru
2026-08-16T14:00,25.9,61,11.8,Bengaluru
2026-08-16T15:00,24.8,68,12.1,Bengaluru
2026-08-16T16:00,24.0,72,13.0,Bengaluru
2026-08-16T17:00,23.0,75,13.0,Bengaluru
2026-08-16T18:00,22.8,77,13.0,Bengaluru
2026-08-16T19:00,21.9,81,13.2,Bengaluru
2026-08-16T20:00,21.3,85,12.4,Bengaluru
2026-08-16T21:00,20.7,88,11.4,Bengaluru
2026-08-16T22:00,20.3,91,11.3,Bengaluru
2026-08-16T23:00,20.1,92,11.4,Bengaluru
2026-08-17T00:00,21.0,89,12.7,Bengaluru
2026-08-17T01:00,20.7,91,11.8,Bengaluru
2026-08-17T02:00,21.8,84,14.0,Bengaluru
2026-08-17T03:00,23.4,74,15.6,Bengaluru
2026-08-17T04:00,25.3,63,16.8,Bengaluru
2026-08-17T05:00,26.8,56,17.3,Bengaluru
2026-08-17T06:00,27.0,57,15.5,Bengaluru
2026-08-17T07:00,27.8,54,14.9,Bengaluru
2026-08-17T08:00,29.0,50,15.3,Bengaluru
2026-08-17T09:00,29.4,47,16.0,Bengaluru
2026-08-17T10:00,29.5,46,15.8,Bengaluru
2026-08-17T11:00,28.4,50,15.7,Bengaluru
2026-08-17T12:00,26.8,55,17.7,Bengaluru
2026-08-17T13:00,25.0,65,10.0,Bengaluru
2026-08-17T14:00,24.5,71,13.3,Bengaluru
2026-08-17T15:00,23.5,75,12.4,Bengaluru
2026-08-17T16:00,23.0,80,11.0,Bengaluru
2026-08-17T17:00,22.5,81,12.0,Bengaluru
2026-08-17T18:00,22.2,81,13.0,Bengaluru
2026-08-17T19:00,21.4,86,10.3,Bengaluru
2026-08-17T20:00,21.0,87,10.4,Bengaluru
2026-08-17T21:00,20.7,89,9.6,Bengaluru
2026-08-17T22:00,20.2,89,11.0,Bengaluru
2026-08-17T23:00,19.9,90,11.4,Bengaluru
2026-08-18T00:00,20.4,90,11.5,Bengaluru
2026-08-18T01:00,20.3,92,11.0,Bengaluru
2026-08-18T02:00,21.5,85,13.9,Bengaluru
2026-08-18T03:00,23.4,74,16.2,Bengaluru
2026-08-18T04:00,24.7,66,15.7,Bengaluru
2026-08-18T05:00,26.3,59,15.7,Bengaluru
2026-08-18T06:00,27.8,54,14.8,Bengaluru
2026-08-18T07:00,28.5,54,14.6,Bengaluru
2026-08-18T08:00,29.5,50,14.1,Bengaluru
2026-08-18T09:00,29.9,49,14.4,Bengaluru
2026-08-18T10:00,29.9,50,13.2,Bengaluru
2026-08-18T11:00,26.0,67,15.6,Bengaluru
2026-08-18T12:00,27.0,61,15.0,Bengaluru
2026-08-18T13:00,25.6,65,12.7,Bengaluru
2026-08-18T14:00,25.0,70,11.0,Bengaluru
2026-08-18T15:00,24.4,74,11.8,Bengaluru
2026-08-18T16:00,23.7,76,11.8,Bengaluru
2026-08-18T17:00,23.1,78,11.6,Bengaluru
2026-08-18T18:00,22.8,82,10.1,Bengaluru
2026-08-18T19:00,22.4,85,8.6,Bengaluru
2026-08-18T20:00,22.3,85,10.0,Bengaluru
2026-08-18T21:00,21.7,89,10.4,Bengaluru
2026-08-18T22:00,21.6,88,11.0,Bengaluru
2026-08-18T23:00,21.4,88,10.9,Bengaluru
2026-08-19T00:00,21.4,87,9.2,Bengaluru
2026-08-19T01:00,21.2,88,9.7,Bengaluru
2026-08-19T02:00,22.2,83,9.8,Bengaluru
2026-08-19T03:00,23.9,73,14.5,Bengaluru
2026-08-19T04:00,24.5,70,15.0,Bengaluru
2026-08-19T05:00,26.3,61,16.9,Bengaluru
2026-08-19T06:00,27.2,58,17.5,Bengaluru
2026-08-19T07:00,27.0,57,15.6,Bengaluru
2026-08-19T08:00,28.3,56,15.1,Bengaluru
2026-08-19T09:00,26.4,63,17.6,Bengaluru
2026-08-19T10:00,26.4,67,13.5,Bengaluru
2026-08-19T11:00,24.0,76,17.3,Bengaluru
2026-08-19T12:00,24.5,77,11.9,Bengaluru
2026-08-19T13:00,23.8,84,7.9,Bengaluru
2026-08-19T14:00,23.5,85,10.8,Bengaluru
2026-08-19T15:00,23.5,85,10.1,Bengaluru
2026-08-19T16:00,23.1,85,11.3,Bengaluru
2026-08-19T17:00,22.8,86,10.4,Bengaluru
2026-08-19T18:00,22.4,90,11.2,Bengaluru
2026-08-19T19:00,21.5,92,10.1,Bengaluru
2026-08-19T20:00,21.6,93,10.3,Bengaluru
2026-08-19T21:00,21.4,93,11.0,Bengaluru
2026-08-19T22:00,21.2,94,10.4,Bengaluru
2026-08-19T23:00,21.0,94,9.5,Bengaluru
2026-08-20T00:00,20.9,94,12.8,Bengaluru
2026-08-20T01:00,20.9,93,12.6,Bengaluru
2026-08-20T02:00,21.6,89,11.4,Bengaluru
2026-08-20T03:00,23.2,81,13.8,Bengaluru
2026-08-20T04:00,24.8,73,17.0,Bengaluru
2026-08-20T05:00,25.1,72,17.1,Bengaluru
2026-08-20T06:00,24.5,73,17.0,Bengaluru
2026-08-20T07:00,25.6,68,13.6,Bengaluru
2026-08-20T08:00,27.7,60,16.7,Bengaluru
2026-08-20T09:00,27.1,63,13.3,Bengaluru
2026-08-20T10:00,26.4,62,13.1,Bengaluru
2026-08-20T11:00,25.5,71,11.8,Bengaluru
2026-08-20T12:00,24.9,74,10.6,Bengaluru
2026-08-20T13:00,23.4,81,13.3,Bengaluru
2026-08-20T14:00,22.6,86,11.9,Bengaluru
2026-08-20T15:00,22.3,89,12.0,Bengaluru
2026-08-20T16:00,22.0,90,13.8,Bengaluru
2026-08-20T17:00,21.5,90,14.2,Bengaluru
2026-08-20T18:00,20.9,91,13.3,Bengaluru
2026-08-20T19:00,20.4,91,12.4,Bengaluru
2026-08-20T20:00,19.9,93,11.2,Bengaluru
2026-08-20T21:00,19.6,93,10.7,Bengaluru
2026-08-20T22:00,19.4,94,10.3,Bengaluru
2026-08-20T23:00,19.1,95,10.4,Bengaluru
2026-08-21T00:00,18.9,96,11.0,Bengaluru
2026-08-21T01:00,18.9,96,10.6,Bengaluru
2026-08-21T02:00,20.3,88,14.4,Bengaluru
2026-08-21T03:00,22.1,77,15.0,Bengaluru
2026-08-21T04:00,23.3,72,15.8,Bengaluru
2026-08-21T05:00,24.2,69,15.5,Bengaluru
2026-08-21T06:00,25.2,65,16.4,Bengaluru
2026-08-21T07:00,26.0,62,16.0,Bengaluru
2026-08-21T08:00,27.3,56,16.2,Bengaluru
2026-08-21T09:00,28.1,53,16.2,Bengaluru
2026-08-21T10:00,28.3,52,16.2,Bengaluru
2026-08-21T11:00,28.0,52,16.4,Bengaluru
2026-08-21T12:00,27.3,53,15.4,Bengaluru
2026-08-21T13:00,25.7,59,15.0,Bengaluru
2026-08-21T14:00,24.0,71,16.3,Bengaluru
2026-08-21T15:00,22.8,77,15.1,Bengaluru
2026-08-21T16:00,21.9,79,14.4,Bengaluru
2026-08-21T17:00,21.1,80,14.5,Bengaluru
2026-08-21T18:00,20.5,85,14.0,Bengaluru
2026-08-21T19:00,20.0,90,13.8,Bengaluru
2026-08-21T20:00,19.7,92,14.1,Bengaluru
2026-08-21T21:00,19.7,93,14.3,Bengaluru
2026-08-21T22:00,20.0,91,14.6,Bengaluru
2026-08-21T23:00,20.0,91,15.4,Bengaluru
2026-08-22T00:00,20.2,90,15.7,Bengaluru
2026-08-22T01:00,20.6,88,15.4,Bengaluru
2026-08-22T02:00,21.3,83,16.9,Bengaluru
2026-08-22T03:00,22.6,76,19.1,Bengaluru
2026-08-22T04:00,23.9,70,18.6,Bengaluru
2026-08-22T05:00,24.5,68,17.1,Bengaluru
2026-08-22T06:00,26.2,60,17.6,Bengaluru
2026-08-22T07:00,27.6,54,17.4,Bengaluru
2026-08-22T08:00,28.3,51,17.5,Bengaluru
2026-08-22T09:00,27.0,62,16.1,Bengaluru
2026-08-22T10:00,25.9,66,9.7,Bengaluru
2026-08-22T11:00,26.9,64,14.5,Bengaluru
2026-08-22T12:00,24.3,74,11.1,Bengaluru
2026-08-22T13:00,24.0,79,11.1,Bengaluru
2026-08-22T14:00,22.3,83,12.2,Bengaluru
2026-08-22T15:00,22.6,82,15.8,Bengaluru
2026-08-22T16:00,22.0,82,15.2,Bengaluru
2026-08-22T17:00,21.2,86,13.7,Bengaluru
2026-08-22T18:00,20.7,90,13.6,Bengaluru
2026-08-22T19:00,20.3,92,12.7,Bengaluru
2026-08-22T20:00,20.1,93,13.1,Bengaluru
2026-08-22T21:00,19.9,94,13.1,Bengaluru
2026-08-22T22:00,19.8,94,13.3,Bengaluru
2026-08-22T23:00,20.1,92,13.8,Bengaluru
2026-08-23T00:00,20.2,91,13.7,Bengaluru
2026-08-23T01:00,20.4,90,14.9,Bengaluru
2026-08-23T02:00,21.2,85,18.0,Bengaluru
2026-08-23T03:00,22.5,76,19.3,Bengaluru
2026-08-23T04:00,23.9,72,16.7,Bengaluru
2026-08-23T05:00,25.1,66,17.6,Bengaluru
2026-08-23T06:00,26.9,58,18.7,Bengaluru
2026-08-23T07:00,27.9,54,18.8,Bengaluru
2026-08-23T08:00,28.4,55,18.8,Bengaluru
2026-08-23T09:00,28.6,56,17.7,Bengaluru
2026-08-23T10:00,27.9,58,17.5,Bengaluru
2026-08-23T11:00,24.2,79,14.5,Bengaluru
2026-08-23T12:00,23.8,81,12.2,Bengaluru
2026-08-23T13:00,21.7,91,17.7,Bengaluru
2026-08-23T14:00,21.5,93,12.4,Bengaluru
2026-08-23T15:00,21.6,92,14.6,Bengaluru
2026-08-23T16:00,21.4,92,14.7,Bengaluru
2026-08-23T17:00,21.0,93,14.3,Bengaluru
2026-08-23T18:00,20.5,94,14.9,Bengaluru
2026-08-23T19:00,20.1,95,15.1,Bengaluru
2026-08-23T20:00,20.0,94,15.1,Bengaluru
2026-08-23T21:00,20.2,92,16.2,Bengaluru
2026-08-23T22:00,20.6,90,15.3,Bengaluru
2026-08-23T23:00,20.6,91,15.4,Bengaluru
2026-08-24T00:00,20.5,91,15.3,Bengaluru
2026-08-24T01:00,21.1,88,16.0,Bengaluru
2026-08-24T02:00,21.9,84,17.3,Bengaluru
2026-08-24T03:00,22.8,79,18.3,Bengaluru
2026-08-24T04:00,23.9,73,19.1,Bengaluru
2026-08-24T05:00,25.2,67,19.7,Bengaluru
2026-08-24T06:00,26.3,62,20.0,Bengaluru
2026-08-24T07:00,27.4,59,19.6,Bengaluru
2026-08-24T08:00,28.3,57,18.9,Bengaluru
2026-08-24T09:00,28.4,57,18.2,Bengaluru
2026-08-24T10:00,27.1,62,17.6,Bengaluru
2026-08-24T11:00,25.0,70,17.3,Bengaluru
2026-08-24T12:00,23.3,78,16.8,Bengaluru
2026-08-24T13:00,22.6,84,16.1,Bengaluru
2026-08-24T14:00,22.3,88,15.4,Bengaluru
2026-08-24T15:00,22.0,91,15.0,Bengaluru
2026-08-24T16:00,21.5,92,15.2,Bengaluru
2026-08-24T17:00,21.1,92,15.8,Bengaluru
2026-08-24T18:00,20.8,92,16.1,Bengaluru
2026-08-24T19:00,20.6,92,15.9,Bengaluru
2026-08-24T20:00,20.6,92,15.3,Bengaluru
2026-08-24T21:00,20.6,92,14.8,Bengaluru
2026-08-24T22:00,20.5,93,13.8,Bengaluru
2026-08-24T23:00,20.5,95,13.0,Bengaluru
2026-08-25T00:00,20.6,94,12.8,Bengaluru
2026-08-25T01:00,20.9,92,14.1,Bengaluru
2026-08-25T02:00,21.4,88,16.3,Bengaluru
2026-08-25T03:00,22.2,82,18.3,Bengaluru
2026-08-25T04:00,23.6,75,19.9,Bengaluru
2026-08-25T05:00,25.2,68,21.7,Bengaluru
2026-08-25T06:00,26.5,63,22.9,Bengaluru
2026-08-25T07:00,27.2,61,23.0,Bengaluru
2026-08-25T08:00,27.6,59,22.3,Bengaluru
2026-08-25T09:00,27.3,61,20.9,Bengaluru
2026-08-25T10:00,25.8,67,18.0,Bengaluru
2026-08-25T11:00,23.6,77,14.5,Bengaluru
2026-08-25T12:00,22.1,86,12.3,Bengaluru
2026-08-25T13:00,21.7,88,13.0,Bengaluru
2026-08-25T14:00,22.0,87,15.1,Bengaluru
2026-08-25T15:00,22.1,86,16.9,Bengaluru
2026-08-25T16:00,21.7,87,17.4,Bengaluru
2026-08-25T17:00,21.3,89,17.6,Bengaluru
2026-08-25T18:00,20.9,90,17.6,Bengaluru
2026-08-25T19:00,20.9,90,17.4,Bengaluru
2026-08-25T20:00,21.0,89,17.1,Bengaluru
2026-08-25T21:00,21.1,88,17.0,Bengaluru
2026-08-25T22:00,21.0,89,16.8,Bengaluru
2026-08-25T23:00,21.0,91,17.0,Bengaluru
2026-08-26T00:00,21.1,90,17.9,Bengaluru
2026-08-26T01:00,21.5,86,20.3,Bengaluru
2026-08-26T02:00,22.0,82,23.6,Bengaluru
2026-08-26T03:00,22.8,76,25.9,Bengaluru
2026-08-26T04:00,24.0,71,26.1,Bengaluru
2026-08-26T05:00,25.5,65,25.4,Bengaluru
2026-08-26T06:00,26.5,61,24.8,Bengaluru
2026-08-26T07:00,26.3,63,21.3,Bengaluru
2026-08-26T08:00,26.6,62,21.0,Bengaluru
2026-08-26T09:00,26.8,61,20.7,Bengaluru
2026-08-26T10:00,26.9,62,20.1,Bengaluru
2026-08-26T11:00,26.7,63,19.7,Bengaluru
2026-08-26T12:00,26.4,64,19.2,Bengaluru
2026-08-26T13:00,25.8,66,18.7,Bengaluru
2026-08-26T14:00,24.9,70,18.3,Bengaluru
2026-08-26T15:00,23.7,76,17.7,Bengaluru
2026-08-26T16:00,22.6,81,17.0,Bengaluru
2026-08-26T17:00,21.7,86,16.5,Bengaluru
2026-08-26T18:00,21.0,90,16.2,Bengaluru
2026-08-26T19:00,20.6,92,15.8,Bengaluru
2026-08-26T20:00,20.3,94,15.3,Bengaluru
2026-08-26T21:00,20.1,94,14.8,Bengaluru
2026-08-26T22:00,20.2,94,14.6,Bengaluru
2026-08-26T23:00,20.4,92,14.5,Bengaluru
2026-08-13T00:00,22.1,91,12.6,Mysuru
2026-08-13T01:00,22.1,91,13.0,Mysuru
2026-08-13T02:00,22.7,89,13.9,Mysuru
2026-08-13T03:00,23.9,82,15.0,Mysuru
2026-08-13T04:00,25.5,73,16.3,Mysuru
2026-08-13T05:00,27.4,67,16.8,Mysuru
2026-08-13T06:00,28.7,59,17.6,Mysuru
2026-08-13T07:00,26.4,69,19.2,Mysuru
2026-08-13T08:00,29.3,60,17.2,Mysuru
2026-08-13T09:00,26.4,69,23.1,Mysuru
2026-08-13T10:00,25.7,77,18.7,Mysuru
2026-08-13T11:00,26.7,68,21.8,Mysuru
2026-08-13T12:00,26.3,67,19.2,Mysuru
2026-08-13T13:00,24.2,82,16.3,Mysuru
2026-08-13T14:00,23.7,83,16.7,Mysuru
2026-08-13T15:00,22.9,86,16.5,Mysuru
2026-08-13T16:00,22.1,90,14.2,Mysuru
2026-08-13T17:00,21.7,92,13.2,Mysuru
2026-08-13T18:00,22.1,90,12.9,Mysuru
2026-08-13T19:00,21.7,91,12.8,Mysuru
2026-08-13T20:00,21.3,93,13.4,Mysuru
2026-08-13T21:00,21.2,93,13.2,Mysuru
2026-08-13T22:00,21.1,94,12.8,Mysuru
2026-08-13T23:00,21.0,94,11.9,Mysuru
2026-08-14T00:00,21.6,93,10.9,Mysuru
2026-08-14T01:00,21.7,92,11.5,Mysuru
2026-08-14T02:00,22.8,87,14.6,Mysuru
2026-08-14T03:00,24.2,78,15.5,Mysuru
2026-08-14T04:00,25.6,72,15.9,Mysuru
2026-08-14T05:00,26.9,64,16.8,Mysuru
2026-08-14T06:00,28.5,61,15.9,Mysuru
2026-08-14T07:00,29.6,57,17.5,Mysuru
2026-08-14T08:00,29.5,57,17.5,Mysuru
2026-08-14T09:00,24.9,80,22.2,Mysuru
2026-08-14T10:00,27.4,66,18.7,Mysuru
2026-08-14T11:00,26.6,67,22.0,Mysuru
2026-08-14T12:00,24.7,79,18.0,Mysuru
2026-08-14T13:00,24.1,81,18.4,Mysuru
2026-08-14T14:00,23.3,84,17.8,Mysuru
2026-08-14T15:00,22.8,87,15.2,Mysuru
2026-08-14T16:00,22.2,90,15.6,Mysuru
2026-08-14T17:00,21.8,90,15.4,Mysuru
2026-08-14T18:00,22.5,88,16.5,Mysuru
2026-08-14T19:00,21.8,91,14.8,Mysuru
2026-08-14T20:00,21.3,93,14.1,Mysuru
2026-08-14T21:00,21.1,93,14.2,Mysuru
2026-08-14T22:00,20.8,94,12.7,Mysuru
2026-08-14T23:00,20.6,95,13.1,Mysuru
2026-08-15T00:00,21.1,94,11.3,Mysuru
2026-08-15T01:00,21.3,91,12.9,Mysuru
2026-08-15T02:00,22.2,86,13.3,Mysuru
2026-08-15T03:00,23.6,78,15.8,Mysuru
2026-08-15T04:00,25.1,69,19.4,Mysuru
2026-08-15T05:00,26.7,61,21.0,Mysuru
2026-08-15T06:00,27.8,56,21.2,Mysuru
2026-08-15T07:00,27.7,59,21.3,Mysuru
2026-08-15T08:00,29.3,55,20.9,Mysuru
2026-08-15T09:00,28.9,55,23.7,Mysuru
2026-08-15T10:00,28.0,56,23.6,Mysuru
2026-08-15T11:00,26.8,64,22.0,Mysuru
2026-08-15T12:00,26.1,66,20.6,Mysuru
2026-08-15T13:00,24.6,73,19.4,Mysuru
2026-08-15T14:00,23.5,80,18.2,Mysuru
2026-08-15T15:00,22.9,83,16.3,Mysuru
2026-08-15T16:00,22.3,86,15.5,Mysuru
2026-08-15T17:00,21.8,88,15.8,Mysuru
2026-08-15T18:00,22.0,88,14.1,Mysuru
2026-08-15T19:00,21.6,89,14.9,Mysuru
2026-08-15T20:00,21.3,89,15.0,Mysuru
2026-08-15T21:00,21.1,91,14.6,Mysuru
2026-08-15T22:00,20.8,92,14.7,Mysuru
2026-08-15T23:00,20.7,92,14.5,Mysuru
2026-08-16T00:00,21.4,90,13.5,Mysuru
2026-08-16T01:00,21.2,90,13.8,Mysuru
2026-08-16T02:00,22.4,84,15.8,Mysuru
2026-08-16T03:00,24.0,76,16.9,Mysuru
2026-08-16T04:00,25.4,69,17.8,Mysuru
2026-08-16T05:00,26.4,64,18.3,Mysuru
2026-08-16T06:00,27.6,58,17.8,Mysuru
2026-08-16T07:00,29.0,56,17.3,Mysuru
2026-08-16T08:00,29.2,54,17.1,Mysuru
2026-08-16T09:00,28.8,56,20.2,Mysuru
2026-08-16T10:00,28.5,56,20.7,Mysuru
2026-08-16T11:00,26.9,70,21.6,Mysuru
2026-08-16T12:00,26.8,65,18.4,Mysuru
2026-08-16T13:00,25.2,74,17.9,Mysuru
2026-08-16T14:00,23.9,79,17.6,Mysuru
2026-08-16T15:00,23.0,84,16.1,Mysuru
2026-08-16T16:00,22.5,87,15.5,Mysuru
2026-08-16T17:00,21.9,90,15.7,Mysuru
2026-08-16T18:00,21.8,90,15.7,Mysuru
2026-08-16T19:00,21.2,91,15.4,Mysuru
2026-08-16T20:00,21.0,92,14.4,Mysuru
2026-08-16T21:00,20.8,93,14.7,Mysuru
2026-08-16T22:00,20.8,93,14.3,Mysuru
2026-08-16T23:00,21.0,92,13.6,Mysuru
2026-08-17T00:00,21.9,88,14.7,Mysuru
2026-08-17T01:00,21.5,89,13.6,Mysuru
2026-08-17T02:00,22.3,84,15.0,Mysuru
2026-08-17T03:00,24.0,74,18.1,Mysuru
2026-08-17T04:00,25.4,67,18.9,Mysuru
2026-08-17T05:00,26.3,65,19.1,Mysuru
2026-08-17T06:00,27.3,58,16.8,Mysuru
2026-08-17T07:00,27.0,64,18.6,Mysuru
2026-08-17T08:00,28.7,58,15.9,Mysuru
2026-08-17T09:00,29.1,58,19.0,Mysuru
2026-08-17T10:00,27.4,61,23.5,Mysuru
2026-08-17T11:00,27.0,63,21.9,Mysuru
2026-08-17T12:00,25.5,73,18.6,Mysuru
2026-08-17T13:00,24.2,79,18.1,Mysuru
2026-08-17T14:00,23.4,83,14.8,Mysuru
2026-08-17T15:00,22.9,85,14.5,Mysuru
2026-08-17T16:00,22.3,87,13.5,Mysuru
2026-08-17T17:00,21.8,90,12.5,Mysuru
2026-08-17T18:00,21.4,90,12.0,Mysuru
2026-08-17T19:00,20.9,91,12.4,Mysuru
2026-08-17T20:00,20.6,93,11.1,Mysuru
2026-08-17T21:00,20.3,94,10.5,Mysuru
2026-08-17T22:00,20.1,95,11.9,Mysuru
2026-08-17T23:00,20.0,96,12.5,Mysuru
2026-08-18T00:00,20.5,96,12.1,Mysuru
2026-08-18T01:00,20.6,95,10.9,Mysuru
2026-08-18T02:00,22.3,86,14.5,Mysuru
2026-08-18T03:00,24.2,76,15.0,Mysuru
2026-08-18T04:00,24.9,71,15.2,Mysuru
2026-08-18T05:00,26.1,67,13.6,Mysuru
2026-08-18T06:00,28.1,62,14.5,Mysuru
2026-08-18T07:00,26.7,66,16.4,Mysuru
2026-08-18T08:00,26.8,68,14.8,Mysuru
2026-08-18T09:00,28.9,60,17.1,Mysuru
2026-08-18T10:00,25.5,73,21.7,Mysuru
2026-08-18T11:00,25.3,78,17.1,Mysuru
2026-08-18T12:00,25.8,72,17.9,Mysuru
2026-08-18T13:00,25.0,74,15.0,Mysuru
2026-08-18T14:00,23.9,80,14.3,Mysuru
2026-08-18T15:00,23.0,85,15.0,Mysuru
2026-08-18T16:00,22.4,87,13.6,Mysuru
2026-08-18T17:00,21.9,90,13.5,Mysuru
2026-08-18T18:00,22.1,89,11.0,Mysuru
2026-08-18T19:00,21.9,89,12.2,Mysuru
2026-08-18T20:00,21.6,90,11.6,Mysuru
2026-08-18T21:00,21.2,92,10.6,Mysuru
2026-08-18T22:00,20.9,94,11.7,Mysuru
2026-08-18T23:00,20.9,94,11.0,Mysuru
2026-08-19T00:00,21.9,93,10.0,Mysuru
2026-08-19T01:00,21.7,94,10.2,Mysuru
2026-08-19T02:00,23.1,86,11.0,Mysuru
2026-08-19T03:00,24.7,77,13.0,Mysuru
2026-08-19T04:00,25.3,72,13.5,Mysuru
2026-08-19T05:00,26.5,66,15.3,Mysuru
2026-08-19T06:00,27.4,62,16.1,Mysuru
2026-08-19T07:00,27.6,59,15.1,Mysuru
2026-08-19T08:00,28.2,57,17.2,Mysuru
2026-08-19T09:00,26.9,67,18.2,Mysuru
2026-08-19T10:00,27.9,58,20.1,Mysuru
2026-08-19T11:00,26.9,59,20.8,Mysuru
2026-08-19T12:00,25.3,77,15.9,Mysuru
2026-08-19T13:00,24.7,78,12.9,Mysuru
2026-08-19T14:00,24.0,79,13.5,Mysuru
2026-08-19T15:00,23.3,80,14.4,Mysuru
2026-08-19T16:00,22.8,82,14.4,Mysuru
2026-08-19T17:00,22.3,85,13.1,Mysuru
2026-08-19T18:00,22.3,87,11.1,Mysuru
2026-08-19T19:00,22.2,88,10.6,Mysuru
2026-08-19T20:00,22.1,89,10.2,Mysuru
2026-08-19T21:00,22.0,90,10.7,Mysuru
2026-08-19T22:00,21.8,92,9.9,Mysuru
