name,cylinders,displacement,hp,weight_lbs,acceleration,year,origin,weight_kg,mpg_category,vehicle_age,origin_encoded,origin_europe,origin_japan,origin_usa,miles_per_gallon
datsun pl510,4.0,97.0,88.0,2130.0,14.5,70,japan,966.1509599999999,Medium,1956,1,False,True,False,27.0
volkswagen 1131 deluxe sedan,4.0,97.0,92.5,1835.0,20.5,70,europe,832.34132,Medium,1956,0,True,False,False,26.0
peugeot 504,4.0,110.0,87.0,2672.0,17.5,70,europe,1211.997824,Medium,1956,0,True,False,False,25.0
audi 100 ls,4.0,107.0,90.0,2430.0,14.5,70,europe,1102.22856,Medium,1956,0,True,False,False,24.0
saab 99e,4.0,104.0,95.0,2375.0,17.5,70,europe,1077.281,Medium,1956,0,True,False,False,25.0
bmw 2002,4.0,121.0,113.0,2234.0,15.5,70,europe,1013.324528,Medium,1956,0,True,False,False,26.0
amc gremlin,6.0,199.0,90.0,2648.0,15.0,70,usa,1201.111616,Medium,1956,2,False,False,True,21.0
ford f250,8.0,360.0,215.0,4615.0,14.0,70,usa,2093.32708,Low,1956,2,False,False,True,10.0
chevy c20,8.0,307.0,200.0,4376.0,15.0,70,usa,1984.918592,Low,1956,2,False,False,True,10.0
dodge d200,8.0,318.0,210.0,4382.0,13.5,70,usa,1987.640144,Low,1956,2,False,False,True,11.0
hi 1200d,8.0,304.0,193.0,4732.0,18.5,70,usa,2146.397344,Low,1956,2,False,False,True,9.0
datsun pl510,4.0,97.0,88.0,2130.0,14.5,71,japan,966.1509599999999,Medium,1955,1,False,True,False,27.0
chevrolet vega 2300,4.0,140.0,90.0,2264.0,15.5,71,usa,1026.932288,Medium,1955,2,False,False,True,28.0
toyota corona,4.0,113.0,95.0,2228.0,14.0,71,japan,1010.602976,Medium,1955,1,False,True,False,25.0
ford pinto,4.0,98.0,92.5,2046.0,19.0,71,usa,928.049232,Medium,1955,2,False,False,True,25.0
amc gremlin,6.0,232.0,100.0,2634.0,13.0,71,usa,1194.761328,Low,1955,2,False,False,True,19.0
plymouth satellite custom,6.0,225.0,105.0,3439.0,15.5,71,usa,1559.902888,Low,1955,2,False,False,True,16.0
chevrolet chevelle malibu,6.0,250.0,100.0,3329.0,15.5,71,usa,1510.007768,Low,1955,2,False,False,True,17.0
ford torino 500,6.0,250.0,88.0,3302.0,15.5,71,usa,1497.760784,Low,1955,2,False,False,True,19.0
amc matador,6.0,232.0,100.0,3288.0,15.5,71,usa,1491.410496,Low,1955,2,False,False,True,18.0
chevrolet impala,8.0,350.0,165.0,4209.0,12.0,71,usa,1909.1687279999999,Low,1955,2,False,False,True,14.0
pontiac catalina brougham,8.0,400.0,175.0,4464.0,11.5,71,usa,2024.834688,Low,1955,2,False,False,True,14.0
ford galaxie 500,8.0,351.0,153.0,4154.0,13.5,71,usa,1884.221168,Low,1955,2,False,False,True,14.0
plymouth fury iii,8.0,318.0,150.0,4096.0,13.0,71,usa,1857.912832,Low,1955,2,False,False,True,14.0
dodge monaco (sw),8.0,383.0,180.0,4955.0,11.5,71,usa,2247.54836,Low,1955,2,False,False,True,12.0
ford country squire (sw),8.0,400.0,170.0,4746.0,12.0,71,usa,2152.747632,Low,1955,2,False,False,True,13.0
pontiac safari (sw),8.0,400.0,175.0,5140.0,12.0,71,usa,2331.46288,Low,1955,2,False,False,True,13.0
amc hornet sportabout (sw),6.0,258.0,110.0,2962.0,13.5,71,usa,1343.539504,Low,1955,2,False,False,True,18.0
chevrolet vega (sw),4.0,140.0,72.0,2408.0,19.0,71,usa,1092.249536,Medium,1955,2,False,False,True,22.0
pontiac firebird,6.0,250.0,100.0,3282.0,15.0,71,usa,1488.688944,Low,1955,2,False,False,True,19.0
ford mustang,6.0,250.0,88.0,3139.0,14.5,71,usa,1423.825288,Low,1955,2,False,False,True,18.0
mercury capri 2000,4.0,122.0,86.0,2220.0,14.0,71,usa,1006.97424,Medium,1955,2,False,False,True,23.0
opel 1900,4.0,116.0,90.0,2123.0,14.0,71,europe,962.975816,Medium,1955,0,True,False,False,28.0
peugeot 304,4.0,79.0,70.0,2074.0,19.5,71,europe,940.749808,High,1955,0,True,False,False,30.0
fiat 124b,4.0,88.0,76.0,2065.0,14.5,71,europe,936.66748,High,1955,0,True,False,False,30.0
toyota corolla 1200,4.0,71.0,65.0,1773.0,19.0,71,japan,804.218616,High,1955,1,False,True,False,31.0
datsun 1200,4.0,72.0,69.0,1613.0,18.0,71,japan,731.643896,High,1955,1,False,True,False,35.0
volkswagen model 111,4.0,97.0,60.0,1834.0,19.0,71,europe,831.887728,Medium,1955,0,True,False,False,27.0
plymouth cricket,4.0,91.0,70.0,1955.0,20.5,71,usa,886.7723599999999,Medium,1955,2,False,False,True,26.0
toyota corona hardtop,4.0,113.0,95.0,2278.0,15.5,72,japan,1033.282576,Medium,1954,1,False,True,False,24.0
dodge colt hardtop,4.0,97.5,80.0,2126.0,17.0,72,usa,964.336592,Medium,1954,2,False,False,True,25.0
volkswagen type 3,4.0,97.0,54.0,2254.0,23.5,72,europe,1022.3963679999999,Medium,1954,0,True,False,False,23.0
chevrolet vega,4.0,140.0,90.0,2408.0,19.5,72,usa,1092.249536,Medium,1954,2,False,False,True,20.0
ford pinto runabout,4.0,122.0,86.0,2226.0,16.5,72,usa,1009.695792,Medium,1954,2,False,False,True,21.0
chevrolet impala,8.0,350.0,165.0,4274.0,12.0,72,usa,1938.652208,Low,1954,2,False,False,True,13.0
pontiac catalina,8.0,400.0,175.0,4385.0,12.0,72,usa,1989.00092,Low,1954,2,False,False,True,14.0
plymouth fury iii,8.0,318.0,150.0,4135.0,13.5,72,usa,1875.60292,Low,1954,2,False,False,True,15.0
ford galaxie 500,8.0,351.0,153.0,4129.0,13.0,72,usa,1872.881368,Low,1954,2,False,False,True,14.0
amc ambassador sst,8.0,304.0,150.0,3672.0,11.5,72,usa,1665.589824,Low,1954,2,False,False,True,17.0
mercury marquis,8.0,429.0,208.0,4633.0,11.0,72,usa,2101.491736,Low,1954,2,False,False,True,11.0
buick lesabre custom,8.0,350.0,155.0,4502.0,13.5,72,usa,2042.071184,Low,1954,2,False,False,True,13.0
oldsmobile delta 88 royale,8.0,350.0,160.0,4456.0,13.5,72,usa,2021.205952,Low,1954,2,False,False,True,12.0
chrysler newport royal,8.0,400.0,190.0,4422.0,12.5,72,usa,2005.7838239999999,Low,1954,2,False,False,True,13.0
mazda rx2 coupe,3.0,70.0,97.0,2330.0,13.5,72,japan,1056.86936,Low,1954,1,False,True,False,19.0
amc matador (sw),8.0,304.0,150.0,3892.0,12.5,72,usa,1765.380064,Low,1954,2,False,False,True,15.0
chevrolet chevelle concours (sw),8.0,307.0,130.0,4098.0,14.0,72,usa,1858.820016,Low,1954,2,False,False,True,13.0
ford gran torino (sw),8.0,302.0,140.0,4294.0,16.0,72,usa,1947.724048,Low,1954,2,False,False,True,13.0
plymouth satellite custom (sw),8.0,318.0,150.0,4077.0,14.0,72,usa,1849.294584,Low,1954,2,False,False,True,14.0
volvo 145e (sw),4.0,121.0,112.0,2933.0,14.5,72,europe,1330.385336,Low,1954,0,True,False,False,18.0
volkswagen 411 (sw),4.0,121.0,76.0,2511.0,18.0,72,europe,1138.969512,Medium,1954,0,True,False,False,22.0
peugeot 504 (sw),4.0,120.0,87.0,2979.0,19.5,72,europe,1351.250568,Medium,1954,0,True,False,False,21.0
renault 12 (sw),4.0,96.0,69.0,2189.0,18.0,72,europe,992.912888,Medium,1954,0,True,False,False,26.0
ford pinto (sw),4.0,122.0,86.0,2395.0,16.0,72,usa,1086.35284,Medium,1954,2,False,False,True,22.0
datsun 510 (sw),4.0,97.0,92.0,2288.0,17.0,72,japan,1037.818496,Medium,1954,1,False,True,False,28.0
toyouta corona mark ii (sw),4.0,120.0,97.0,2506.0,14.5,72,japan,1136.701552,Medium,1954,1,False,True,False,23.0
dodge colt (sw),4.0,98.0,80.0,2164.0,15.0,72,usa,981.573088,Medium,1954,2,False,False,True,28.0
toyota corolla 1600 (sw),4.0,97.0,88.0,2100.0,16.5,72,japan,952.5432,Medium,1954,1,False,True,False,27.0
buick century 350,8.0,350.0,175.0,4100.0,13.0,73,usa,1859.7272,Low,1953,2,False,False,True,13.0
amc matador,8.0,304.0,150.0,3672.0,11.5,73,usa,1665.589824,Low,1953,2,False,False,True,14.0
chevrolet malibu,8.0,350.0,145.0,3988.0,13.0,73,usa,1808.924896,Low,1953,2,False,False,True,13.0
ford gran torino,8.0,302.0,137.0,4042.0,14.5,73,usa,1833.418864,Low,1953,2,False,False,True,14.0
dodge coronet custom,8.0,318.0,150.0,3777.0,12.5,73,usa,1713.216984,Low,1953,2,False,False,True,15.0
mercury marquis brougham,8.0,429.0,198.0,4952.0,11.5,73,usa,2246.187584,Low,1953,2,False,False,True,12.0
chevrolet caprice classic,8.0,400.0,150.0,4464.0,12.0,73,usa,2024.834688,Low,1953,2,False,False,True,13.0
ford ltd,8.0,351.0,158.0,4363.0,13.0,73,usa,1979.021896,Low,1953,2,False,False,True,13.0
plymouth fury gran sedan,8.0,318.0,150.0,4237.0,14.5,73,usa,1921.869304,Low,1953,2,False,False,True,14.0
chrysler new yorker brougham,8.0,440.0,215.0,4735.0,11.0,73,usa,2147.75812,Low,1953,2,False,False,True,13.0
buick electra 225 custom,8.0,455.0,225.0,4951.0,11.0,73,usa,2245.733992,Low,1953,2,False,False,True,12.0
amc ambassador brougham,8.0,360.0,175.0,3821.0,11.0,73,usa,1733.1750319999999,Low,1953,2,False,False,True,13.0
plymouth valiant,6.0,225.0,105.0,3121.0,16.5,73,usa,1415.660632,Low,1953,2,False,False,True,18.0
chevrolet nova custom,6.0,250.0,100.0,3278.0,18.0,73,usa,1486.874576,Low,1953,2,False,False,True,16.0
amc hornet,6.0,232.0,100.0,2945.0,16.0,73,usa,1335.82844,Low,1953,2,False,False,True,18.0
ford maverick,6.0,250.0,88.0,3021.0,16.5,73,usa,1370.301432,Low,1953,2,False,False,True,18.0
plymouth duster,6.0,198.0,95.0,2904.0,16.0,73,usa,1317.231168,Medium,1953,2,False,False,True,23.0
volkswagen super beetle,4.0,97.0,46.0,1950.0,21.0,73,europe,884.5044,Medium,1953,0,True,False,False,26.0
chevrolet impala,8.0,400.0,150.0,4997.0,14.0,73,usa,2266.599224,Low,1953,2,False,False,True,11.0
ford country,8.0,400.0,167.0,4906.0,12.5,73,usa,2225.322352,Low,1953,2,False,False,True,12.0
plymouth custom suburb,8.0,360.0,170.0,4654.0,13.0,73,usa,2111.017168,Low,1953,2,False,False,True,13.0
oldsmobile vista cruiser,8.0,350.0,180.0,4499.0,12.5,73,usa,2040.710408,Low,1953,2,False,False,True,12.0
amc gremlin,6.0,232.0,100.0,2789.0,15.0,73,usa,1265.068088,Low,1953,2,False,False,True,18.0
toyota carina,4.0,97.0,88.0,2279.0,19.0,73,japan,1033.736168,Medium,1953,1,False,True,False,20.0
chevrolet vega,4.0,140.0,72.0,2401.0,19.5,73,usa,1089.074392,Medium,1953,2,False,False,True,21.0
datsun 610,4.0,108.0,94.0,2379.0,16.5,73,japan,1079.095368,Medium,1953,1,False,True,False,22.0
maxda rx3,3.0,70.0,90.0,2124.0,13.5,73,japan,963.429408,Low,1953,1,False,True,False,18.0
ford pinto,4.0,122.0,85.0,2310.0,18.5,73,usa,1047.79752,Low,1953,2,False,False,True,19.0
mercury capri v6,6.0,155.0,107.0,2472.0,14.0,73,usa,1121.279424,Medium,1953,2,False,False,True,21.0
fiat 124 sport coupe,4.0,98.0,90.0,2265.0,15.5,73,europe,1027.38588,Medium,1953,0,True,False,False,26.0
chevrolet monte carlo s,8.0,350.0,145.0,4082.0,13.0,73,usa,1851.562544,Low,1953,2,False,False,True,15.0
pontiac grand prix,8.0,400.0,230.0,4278.0,9.5,73,usa,1940.466576,Low,1953,2,False,False,True,16.0
fiat 128,4.0,68.0,49.0,1867.0,19.5,73,europe,846.856264,Medium,1953,0,True,False,False,29.0
opel manta,4.0,116.0,75.0,2158.0,15.5,73,europe,978.851536,Medium,1953,0,True,False,False,24.0
audi 100ls,4.0,114.0,91.0,2582.0,14.0,73,europe,1171.174544,Medium,1953,0,True,False,False,20.0
volvo 144ea,4.0,121.0,112.0,2868.0,15.5,73,europe,1300.901856,Low,1953,0,True,False,False,19.0
dodge dart custom,8.0,318.0,150.0,3399.0,11.0,73,usa,1541.759208,Low,1953,2,False,False,True,15.0
saab 99le,4.0,121.0,110.0,2660.0,14.0,73,europe,1206.55472,Medium,1953,0,True,False,False,24.0
toyota mark ii,6.0,156.0,122.0,2807.0,13.5,73,japan,1273.232744,Medium,1953,1,False,True,False,20.0
oldsmobile omega,8.0,350.0,180.0,3664.0,11.0,73,usa,1661.961088,Low,1953,2,False,False,True,11.0
plymouth duster,6.0,198.0,95.0,3102.0,16.5,74,usa,1407.042384,Medium,1952,2,False,False,True,20.0
ford maverick,6.0,200.0,92.5,2875.0,17.0,74,usa,1304.077,Medium,1952,2,False,False,True,21.0
amc hornet,6.0,232.0,92.5,2901.0,16.0,74,usa,1315.870392,Low,1952,2,False,False,True,19.0
chevrolet nova,6.0,250.0,100.0,3336.0,17.0,74,usa,1513.182912,Low,1952,2,False,False,True,15.0
datsun b210,4.0,79.0,67.0,1950.0,19.0,74,japan,884.5044,High,1952,1,False,True,False,31.0
ford pinto,4.0,122.0,80.0,2451.0,16.5,74,usa,1111.753992,Medium,1952,2,False,False,True,26.0
toyota corolla 1200,4.0,71.0,92.5,1836.0,15.5,74,japan,832.794912,High,1952,1,False,True,False,32.0
chevrolet vega,4.0,140.0,75.0,2542.0,17.0,74,usa,1153.030864,Medium,1952,2,False,False,True,25.0
chevrolet chevelle malibu classic,6.0,250.0,100.0,3781.0,17.0,74,usa,1715.031352,Low,1952,2,False,False,True,16.0
amc matador,6.0,258.0,110.0,3632.0,18.0,74,usa,1647.446144,Low,1952,2,False,False,True,16.0
plymouth satellite sebring,6.0,225.0,105.0,3613.0,16.5,74,usa,1638.827896,Low,1952,2,False,False,True,18.0
ford gran torino,8.0,302.0,92.5,4141.0,14.0,74,usa,1878.324472,Low,1952,2,False,False,True,16.0
buick century luxus (sw),8.0,350.0,150.0,4699.0,14.5,74,usa,2131.428808,Low,1952,2,False,False,True,13.0
dodge coronet custom (sw),8.0,318.0,150.0,4457.0,13.5,74,usa,2021.6595439999999,Low,1952,2,False,False,True,14.0
ford gran torino (sw),8.0,302.0,140.0,4638.0,16.0,74,usa,2103.759696,Low,1952,2,False,False,True,14.0
amc matador (sw),8.0,304.0,150.0,4257.0,15.5,74,usa,1930.941144,Low,1952,2,False,False,True,14.0
audi fox,4.0,98.0,83.0,2219.0,16.5,74,europe,1006.5206479999999,Medium,1952,0,True,False,False,29.0
volkswagen dasher,4.0,79.0,67.0,1963.0,15.5,74,europe,890.4010959999999,Medium,1952,0,True,False,False,26.0
opel manta,4.0,97.0,78.0,2300.0,14.5,74,europe,1043.2616,Medium,1952,0,True,False,False,26.0
toyota corona,4.0,76.0,52.0,1649.0,16.5,74,japan,747.973208,High,1952,1,False,True,False,31.0
datsun 710,4.0,83.0,61.0,2003.0,19.0,74,japan,908.544776,High,1952,1,False,True,False,32.0
dodge colt,4.0,90.0,75.0,2125.0,14.5,74,usa,963.883,Medium,1952,2,False,False,True,28.0
fiat 128,4.0,90.0,75.0,2108.0,15.5,74,europe,956.171936,Medium,1952,0,True,False,False,24.0
fiat 124 tc,4.0,116.0,75.0,2246.0,14.0,74,europe,1018.7676319999999,Medium,1952,0,True,False,False,26.0
honda civic,4.0,120.0,97.0,2489.0,15.0,74,japan,1128.990488,Medium,1952,1,False,True,False,24.0
subaru,4.0,108.0,93.0,2391.0,15.5,74,japan,1084.538472,Medium,1952,1,False,True,False,26.0
fiat x1.9,4.0,79.0,67.0,2000.0,16.0,74,europe,907.184,High,1952,0,True,False,False,31.0
plymouth valiant custom,6.0,225.0,95.0,3264.0,16.0,75,usa,1480.524288,Low,1951,2,False,False,True,19.0
chevrolet nova,6.0,250.0,105.0,3459.0,16.0,75,usa,1568.974728,Low,1951,2,False,False,True,18.0
mercury monarch,6.0,250.0,72.0,3432.0,21.0,75,usa,1556.727744,Low,1951,2,False,False,True,15.0
ford maverick,6.0,250.0,72.0,3158.0,19.5,75,usa,1432.443536,Low,1951,2,False,False,True,15.0
pontiac catalina,8.0,400.0,170.0,4668.0,11.5,75,usa,2117.367456,Low,1951,2,False,False,True,16.0
chevrolet bel air,8.0,350.0,145.0,4440.0,14.0,75,usa,2013.94848,Low,1951,2,False,False,True,15.0
plymouth grand fury,8.0,318.0,150.0,4498.0,14.5,75,usa,2040.256816,Low,1951,2,False,False,True,16.0
ford ltd,8.0,351.0,148.0,4657.0,13.5,75,usa,2112.377944,Low,1951,2,False,False,True,14.0
buick century,6.0,231.0,110.0,3907.0,21.0,75,usa,1772.1839439999999,Low,1951,2,False,False,True,17.0
chevroelt chevelle malibu,6.0,250.0,105.0,3897.0,18.5,75,usa,1767.648024,Low,1951,2,False,False,True,16.0
amc matador,6.0,258.0,110.0,3730.0,19.0,75,usa,1691.89816,Low,1951,2,False,False,True,15.0
plymouth fury,6.0,225.0,95.0,3785.0,19.0,75,usa,1716.84572,Low,1951,2,False,False,True,18.0
buick skyhawk,6.0,231.0,110.0,3039.0,15.0,75,usa,1378.466088,Medium,1951,2,False,False,True,21.0
chevrolet monza 2+2,8.0,262.0,110.0,3221.0,13.5,75,usa,1461.019832,Medium,1951,2,False,False,True,20.0
ford mustang ii,8.0,302.0,129.0,3169.0,12.0,75,usa,1437.4330479999999,Low,1951,2,False,False,True,13.0
toyota corolla,4.0,97.0,75.0,2171.0,16.0,75,japan,984.748232,Medium,1951,1,False,True,False,29.0
ford pinto,4.0,140.0,83.0,2639.0,17.0,75,usa,1197.029288,Medium,1951,2,False,False,True,23.0
amc gremlin,6.0,232.0,100.0,2914.0,16.0,75,usa,1321.767088,Medium,1951,2,False,False,True,20.0
pontiac astro,4.0,140.0,78.0,2592.0,18.5,75,usa,1175.710464,Medium,1951,2,False,False,True,23.0
toyota corona,4.0,134.0,96.0,2702.0,13.5,75,japan,1225.605584,Medium,1951,1,False,True,False,24.0
volkswagen dasher,4.0,90.0,71.0,2223.0,16.5,75,europe,1008.335016,Medium,1951,0,True,False,False,25.0
datsun 710,4.0,119.0,97.0,2545.0,17.0,75,japan,1154.39164,Medium,1951,1,False,True,False,24.0
ford pinto,6.0,171.0,97.0,2984.0,14.5,75,usa,1353.518528,Low,1951,2,False,False,True,18.0
volkswagen rabbit,4.0,90.0,70.0,1937.0,14.0,75,europe,878.607704,Medium,1951,0,True,False,False,29.0
amc pacer,6.0,232.0,90.0,3211.0,17.0,75,usa,1456.483912,Low,1951,2,False,False,True,19.0
audi 100ls,4.0,115.0,95.0,2694.0,15.0,75,europe,1221.976848,Medium,1951,0,True,False,False,23.0
peugeot 504,4.0,120.0,88.0,2957.0,17.0,75,europe,1341.271544,Medium,1951,0,True,False,False,23.0
volvo 244dl,4.0,121.0,98.0,2945.0,14.5,75,europe,1335.82844,Medium,1951,0,True,False,False,22.0
saab 99le,4.0,121.0,115.0,2671.0,13.5,75,europe,1211.544232,Medium,1951,0,True,False,False,25.0
honda civic cvcc,4.0,91.0,53.0,1795.0,17.5,75,japan,814.19764,High,1951,1,False,True,False,33.0
fiat 131,4.0,107.0,86.0,2464.0,15.5,76,europe,1117.650688,Medium,1950,0,True,False,False,28.0
opel 1900,4.0,116.0,81.0,2220.0,16.9,76,europe,1006.97424,Medium,1950,0,True,False,False,25.0
capri ii,4.0,140.0,92.0,2572.0,14.9,76,usa,1166.638624,Medium,1950,2,False,False,True,25.0
dodge colt,4.0,98.0,79.0,2255.0,17.7,76,usa,1022.84996,Medium,1950,2,False,False,True,26.0
renault 12tl,4.0,101.0,83.0,2202.0,15.3,76,europe,998.809584,Medium,1950,0,True,False,False,27.0
chevrolet chevelle malibu classic,8.0,305.0,140.0,4215.0,13.0,76,usa,1911.89028,Low,1950,2,False,False,True,17.5
dodge coronet brougham,8.0,318.0,150.0,4190.0,13.0,76,usa,1900.5504799999999,Low,1950,2,False,False,True,16.0
amc matador,8.0,304.0,120.0,3962.0,13.9,76,usa,1797.131504,Low,1950,2,False,False,True,15.5
ford gran torino,8.0,351.0,152.0,4215.0,12.8,76,usa,1911.89028,Low,1950,2,False,False,True,14.5
plymouth valiant,6.0,225.0,100.0,3233.0,15.4,76,usa,1466.462936,Medium,1950,2,False,False,True,22.0
chevrolet nova,6.0,250.0,105.0,3353.0,14.5,76,usa,1520.893976,Medium,1950,2,False,False,True,22.0
ford maverick,6.0,200.0,81.0,3012.0,17.6,76,usa,1366.219104,Medium,1950,2,False,False,True,24.0
amc hornet,6.0,232.0,90.0,3085.0,17.6,76,usa,1399.33132,Medium,1950,2,False,False,True,22.5
chevrolet chevette,4.0,85.0,52.0,2035.0,22.2,76,usa,923.05972,Medium,1950,2,False,False,True,29.0
chevrolet woody,4.0,98.0,60.0,2164.0,22.1,76,usa,981.573088,Medium,1950,2,False,False,True,24.5
vw rabbit,4.0,90.0,70.0,1937.0,14.2,76,europe,878.607704,Medium,1950,0,True,False,False,29.0
honda civic,4.0,91.0,53.0,1795.0,17.4,76,japan,814.19764,High,1950,1,False,True,False,33.0
dodge aspen se,6.0,225.0,100.0,3651.0,17.7,76,usa,1656.064392,Medium,1950,2,False,False,True,20.0
ford granada ghia,6.0,250.0,78.0,3574.0,21.0,76,usa,1621.137808,Low,1950,2,False,False,True,18.0
pontiac ventura sj,6.0,250.0,110.0,3645.0,16.2,76,usa,1653.34284,Low,1950,2,False,False,True,18.5
amc pacer d/l,6.0,258.0,95.0,3193.0,17.8,76,usa,1448.319256,Low,1950,2,False,False,True,17.5
volkswagen rabbit,4.0,97.0,71.0,1825.0,12.2,76,europe,827.8054,Medium,1950,0,True,False,False,29.5
datsun b-210,4.0,85.0,70.0,1990.0,17.0,76,japan,902.6480799999999,High,1950,1,False,True,False,32.0
toyota corolla,4.0,97.0,75.0,2155.0,16.4,76,japan,977.49076,Medium,1950,1,False,True,False,28.0
ford pinto,4.0,140.0,72.0,2565.0,13.6,76,usa,1163.46348,Medium,1950,2,False,False,True,26.5
volvo 245,4.0,130.0,102.0,3150.0,15.7,76,europe,1428.8147999999999,Medium,1950,0,True,False,False,20.0
plymouth volare premier v8,8.0,318.0,150.0,3940.0,13.2,76,usa,1787.15248,Low,1950,2,False,False,True,13.0
peugeot 504,4.0,120.0,88.0,3270.0,21.9,76,europe,1483.24584,Low,1950,0,True,False,False,19.0
toyota mark ii,6.0,156.0,108.0,2930.0,15.5,76,japan,1329.02456,Low,1950,1,False,True,False,19.0
mercedes-benz 280s,6.0,168.0,120.0,3820.0,16.7,76,europe,1732.72144,Low,1950,0,True,False,False,16.5
cadillac seville,8.0,350.0,180.0,4380.0,12.1,76,usa,1986.73296,Low,1950,2,False,False,True,16.5
chevy c10,8.0,350.0,145.0,4055.0,12.0,76,usa,1839.31556,Low,1950,2,False,False,True,13.0
ford f108,8.0,302.0,130.0,3870.0,15.0,76,usa,1755.40104,Low,1950,2,False,False,True,13.0
dodge d100,8.0,318.0,150.0,3755.0,14.0,76,usa,1703.23796,Low,1950,2,False,False,True,13.0
honda accord cvcc,4.0,98.0,68.0,2045.0,18.5,77,japan,927.59564,High,1949,1,False,True,False,31.5
buick opel isuzu deluxe,4.0,111.0,80.0,2155.0,14.8,77,usa,977.49076,High,1949,2,False,False,True,30.0
renault 5 gtl,4.0,79.0,58.0,1825.0,18.6,77,europe,827.8054,High,1949,0,True,False,False,36.0
plymouth arrow gs,4.0,122.0,96.0,2300.0,15.5,77,usa,1043.2616,Medium,1949,2,False,False,True,25.5
datsun f-10 hatchback,4.0,85.0,70.0,1945.0,16.8,77,japan,882.23644,High,1949,1,False,True,False,33.5
chevrolet caprice classic,8.0,305.0,145.0,3880.0,12.5,77,usa,1759.93696,Low,1949,2,False,False,True,17.5
oldsmobile cutlass supreme,8.0,260.0,110.0,4060.0,19.0,77,usa,1841.58352,Low,1949,2,False,False,True,17.0
dodge monaco brougham,8.0,318.0,145.0,4140.0,13.7,77,usa,1877.87088,Low,1949,2,False,False,True,15.5
mercury cougar brougham,8.0,302.0,130.0,4295.0,14.9,77,usa,1948.1776399999999,Low,1949,2,False,False,True,15.0
chevrolet concours,6.0,250.0,110.0,3520.0,16.4,77,usa,1596.64384,Low,1949,2,False,False,True,17.5
buick skylark,6.0,231.0,105.0,3425.0,16.9,77,usa,1553.5526,Medium,1949,2,False,False,True,20.5
plymouth volare custom,6.0,225.0,100.0,3630.0,17.7,77,usa,1646.53896,Low,1949,2,False,False,True,19.0
ford granada,6.0,250.0,98.0,3525.0,19.0,77,usa,1598.9118,Low,1949,2,False,False,True,18.5
pontiac grand prix lj,8.0,400.0,180.0,4220.0,11.1,77,usa,1914.15824,Low,1949,2,False,False,True,16.0
chevrolet monte carlo landau,8.0,350.0,170.0,4165.0,11.4,77,usa,1889.21068,Low,1949,2,False,False,True,15.5
chrysler cordoba,8.0,400.0,190.0,4325.0,12.2,77,usa,1961.7854,Low,1949,2,False,False,True,15.5
ford thunderbird,8.0,351.0,149.0,4335.0,14.5,77,usa,1966.32132,Low,1949,2,False,False,True,16.0
volkswagen rabbit custom,4.0,97.0,78.0,1940.0,14.5,77,europe,879.96848,Medium,1949,0,True,False,False,29.0
pontiac sunbird coupe,4.0,151.0,88.0,2740.0,16.0,77,usa,1242.84208,Medium,1949,2,False,False,True,24.5
